,TPR_scores,FPR_scores
0.0,1.0,0.9999439210408255
0.01,0.9968113129072508,0.9927097353073127
0.02,0.992097601552752,0.9857559443696725
0.03,0.9866906973520033,0.9761664423508299
0.04,0.9819769859975045,0.9669134140870346
0.05,0.9776791903507556,0.9577725437415882
0.06,0.9715790933037571,0.9503140421713773
0.07,0.9674199362262581,0.9416778824585016
0.08,0.9615971163177596,0.9310228802153432
0.09,0.9538333564397615,0.9217698519515478
0.1,0.9452377651462637,0.9109466128308659
0.11,0.9385831138222653,0.8997868999551368
0.12,0.9323443782060169,0.8910385823239121
0.13,0.9230555940662692,0.8811126065500224
0.14,0.9176486898655206,0.8722521310004486
0.15,0.9109940385415223,0.8631112606550022
0.16,0.9032302786635242,0.8554284432480933
0.17,0.8950506030777763,0.8469044414535666
0.18,0.8871482046305282,0.8377635711081203
0.19,0.88021627616803,0.8278936742934051
0.2,0.8728684319977817,0.8200986989681471
0.21,0.8637182864272841,0.8109017496635262
0.22,0.856231803687786,0.8019291161956034
0.23,0.8491612366560377,0.7922274562584118
0.24,0.8422293081935395,0.7835912965455362
0.25,0.8329405240537918,0.7741700314042171
0.26,0.8254540413142937,0.7660946612830866
0.27,0.8182448357132954,0.7568977119784657
0.28,0.8110356301122973,0.748373710183939
0.29,0.8002218217107999,0.7379430237774787
0.3,0.7896852904478026,0.726502916105877
0.31,0.7802578677388049,0.7147824136384029
0.32,0.7694440593373076,0.7031740690892777
0.33,0.76001663662831,0.6935845670704351
0.34,0.7543324552890615,0.6848362494392104
0.35,0.7469846111188132,0.6759757738896366
0.36,0.7383890198253154,0.6665545087483177
0.37,0.7304866213780674,0.6579744279946165
0.38,0.7214751143768197,0.6475437415881561
0.39,0.7094135588520727,0.6369448183041723
0.4,0.6973520033273256,0.6271310004486317
0.41,0.6900041591570775,0.6170367877972185
0.42,0.6816858450020796,0.6087371018393899
0.43,0.6728129765700818,0.5989793629430238
0.44,0.6650492166920837,0.5912404665769403
0.45,0.6554831554138362,0.5794078061911171
0.46,0.6474421183973381,0.56802377747869
0.47,0.6409261056425898,0.5586585912965455
0.48,0.6334396229030916,0.5500224315836698
0.49,0.624150838763344,0.5391431135038134
0.5,0.6176348260085955,0.5310677433826828
0.51,0.6100097046998475,0.5218707940780619
0.52,0.5993345348676001,0.5090287124270974
0.53,0.5903230278663524,0.4989905787348587
0.54,0.5813115208651046,0.4877747868999551
0.55,0.5713295438791072,0.47947510094212653
0.56,0.5620407597393595,0.47016599371915657
0.57,0.5508110356301122,0.46001570210856885
0.58,0.539997227228615,0.44795872588604757
0.59,0.5326493830583668,0.4379766711529834
0.6,0.5248856231803688,0.4285554060116644
0.61,0.516290031886871,0.41952669358456707
0.62,0.5060307777623735,0.4078622700762674
0.63,0.49701927076112573,0.3990578734858681
0.64,0.48606682379037847,0.3899170031404217
0.65,0.47774850963538057,0.38150515926424405
0.66,0.467905171218633,0.3693360251233737
0.67,0.45709136281713575,0.3564378645132346
0.68,0.44405933730763897,0.34449304620906235
0.69,0.4356023845833911,0.33591296545536115
0.7,0.42700679328989327,0.3263795423956931
0.71,0.41452932205739634,0.31533198743831314
0.72,0.4027450436711493,0.30271422162404665
0.73,0.3931789823929017,0.29172274562584116
0.74,0.3819492582836545,0.2828061911170929
0.75,0.3691945099126577,0.27142216240466577
0.76,0.3579647858034105,0.2630103185284881
0.77,0.34548731457091364,0.2512337371018394
0.78,0.33633716900041594,0.2420367877972185
0.79,0.3244142520449189,0.23211081202332884
0.8,0.31262997365867184,0.22201659937191565
0.81,0.3023707195341744,0.21119336025123372
0.82,0.28933869402467766,0.20109914759982056
0.83,0.2796339941771801,0.19257514580529386
0.84,0.268126992929433,0.1826491700314042
0.85,0.25495632885068625,0.1711529834006281
0.86,0.23970608623319006,0.15932032301480484
0.87,0.2263967835851934,0.15029161058770749
0.88,0.21322611950644668,0.14171152983400628
0.89,0.20366005822819908,0.13341184387617766
0.9,0.18868709274920284,0.12146702557200538
0.91,0.175932344378206,0.11120457604306865
0.92,0.1588798003604603,0.09864288918797667
0.93,0.14224317205046444,0.08748317631224764
0.94,0.12519062803271871,0.07604306864064603
0.95,0.10494939692222376,0.06252803947958725
0.96,0.09150145570497713,0.05394795872588605
0.97,0.07375571884098156,0.04245177209510991
0.98,0.054900873422986274,0.030563032750112157
0.99,0.029807292388742548,0.0167676087931808
1.0,0.0,0.0
