,TPR_scores,FPR_scores
0.0,0.9972272286150007,0.9902983400628085
0.01,0.9972272286150007,0.9902983400628085
0.02,0.9958408429225011,0.984297891431135
0.03,0.9945930957992514,0.9773441004934948
0.04,0.9908498544295022,0.968371467025572
0.05,0.9865520587827533,0.960576491700314
0.06,0.9835020102592541,0.9484073575594437
0.07,0.9819769859975045,0.94302377747869
0.08,0.9792042146125052,0.9307424854194706
0.09,0.9746291418272564,0.9206482727680574
0.1,0.9714404547345071,0.9125729026469269
0.11,0.9682517676417579,0.9051704800358905
0.12,0.964231249133509,0.8968147151188874
0.13,0.9588243449327603,0.8873934499775684
0.14,0.951753777901012,0.8790376850605652
0.15,0.9459309579925135,0.8696164199192463
0.16,0.9434354637460142,0.8618214445939884
0.17,0.9391376680992652,0.8531852848811126
0.18,0.9340080410370165,0.8456146253925527
0.19,0.9304034382365174,0.8379878869448183
0.2,0.9286011368362679,0.8289591745177209
0.21,0.924026064051019,0.8213324360699865
0.22,0.9213919312352696,0.8132570659488559
0.23,0.9166782198807708,0.8034993270524899
0.24,0.912103147095522,0.7941341408703454
0.25,0.908221267156523,0.7856101390758188
0.26,0.9046166643560238,0.7771422162404665
0.27,0.896021073062526,0.765702108568865
0.28,0.8895050603077777,0.756056527590848
0.29,0.8831276861222792,0.7461305518169583
0.3,0.8743934562595314,0.7350829968595783
0.31,0.8666296963815333,0.7229699416778824
0.32,0.8595591293497851,0.7152871242709735
0.33,0.851795369471787,0.7058658591296546
0.34,0.8466657424095383,0.6954912516823688
0.35,0.8434770553167892,0.6882570659488559
0.36,0.8375155968390406,0.6799013010318529
0.37,0.8314154997920421,0.6710408254822791
0.38,0.8258699570220436,0.6627972184836249
0.39,0.8183834742825454,0.653600269179004
0.4,0.8133924857895467,0.645468820098699
0.41,0.8075696658810481,0.6371130551816958
0.42,0.8010536531262997,0.6281965006729475
0.43,0.7935671703868016,0.6183826828174069
0.44,0.7852488562318037,0.6084567070435173
0.45,0.7785942049078054,0.5973530731269627
0.46,0.7701372521835574,0.5893898609241812
0.47,0.764037155136559,0.5802489905787349
0.48,0.755580202412311,0.5709959623149394
0.49,0.7432413697490642,0.5574809331538807
0.5,0.7381117426868155,0.5497981157469717
0.51,0.7325661999168168,0.5420592193808883
0.52,0.7249410786080688,0.530338716913414
0.53,0.7167614030223208,0.5209735307312696
0.54,0.7046998474975739,0.5121130551816958
0.55,0.6945792319423264,0.5023553162853297
0.56,0.688063219187578,0.4942799461641992
0.57,0.6784971579093304,0.48491475998205474
0.58,0.6674060723693331,0.4747083894122925
0.59,0.6604741439068349,0.46657694033198743
0.6,0.647996672674338,0.45586585912965455
0.61,0.6398169970885901,0.4465567519066846
0.62,0.6273395258560932,0.43494840735755946
0.63,0.6184666574240953,0.42519066846119336
0.64,0.6101483432690975,0.41812471960520414
0.65,0.5993345348676001,0.40775011215791834
0.66,0.5908775821433523,0.3971511888739345
0.67,0.5739636766948565,0.3830753701211306
0.68,0.5642589768473589,0.3727007626738448
0.69,0.5555247469846111,0.36378420816509643
0.7,0.5402745043671149,0.3540825482279049
0.71,0.527797033134618,0.34247420367877973
0.72,0.5187855261333703,0.33406235980260207
0.73,0.5047830306391238,0.3227344100493495
0.74,0.4899487037293775,0.3120233288470166
0.75,0.47497573825038125,0.2994055630327501
0.76,0.4620823513101345,0.2902086137281292
0.77,0.44738666296963814,0.2804508748317631
0.78,0.4331068903368917,0.2696276357110812
0.79,0.4179952862886455,0.2600942126514132
0.8,0.40690420074864825,0.25044863167339615
0.81,0.3941494523776515,0.2408591296545536
0.82,0.3804242340219049,0.2304284432480933
0.83,0.36808540135865797,0.22095109914759983
0.84,0.34853736309441286,0.2063144908030507
0.85,0.3364758075696659,0.19571556751906685
0.86,0.3195619021211701,0.18461193360251232
0.87,0.3012616109801747,0.17479811574697174
0.88,0.2894773325939276,0.16627411395244504
0.89,0.27450436711493137,0.1576379542395693
0.9,0.26064051018993484,0.14743158366980708
0.91,0.23970608623319006,0.13464558097801704
0.92,0.22265354221544434,0.1237101839389861
0.93,0.20213503396644947,0.10952220726783311
0.94,0.1888257313184528,0.10043741588156124
0.95,0.16525717454595867,0.08658591296545536
0.96,0.1419658949119645,0.07408030506953792
0.97,0.12019963953971995,0.06269627635711081
0.98,0.10259254124497436,0.05439659039928219
0.99,0.08013309302647997,0.04295648272768057
1.0,0.0,0.0
