Epoch,Validation_Balanced_Accuracy,Train_Balanced_Accuracy,Loss (Last Batch),Learning_Rate,Max_Validation_Balanced_Accuracy
1,0.8576161501572733,0.716796066252588,2.0227413177490234,0.0001,0.9216727685247253
2,0.9067232162807887,0.9355660643704122,1.2585402727127075,0.00055,0.9216727685247253
3,0.8982407741624985,0.9405067758328628,1.0167399644851685,0.001,0.9216727685247253
4,0.8906650165867408,0.9254164313946922,1.0562528371810913,0.0009968561049466214,0.9216727685247253
5,0.9056145688306777,0.9338579898362507,1.0731840133666992,0.0009874639560909118,0.9216727685247253
6,0.875135358118909,0.9244494635798983,1.033418893814087,0.0009719416651541838,0.9216727685247253
7,0.9056145688306777,0.9353190287972897,0.9968556761741638,0.0009504844339512095,0.9216727685247253
8,0.8984169545712369,0.9577992659514398,0.9200437068939209,0.0009233620996141421,0.9216727685247253
9,0.9216727685247253,0.9350719932241671,0.9536142349243164,0.000890915741234015,0.9216727685247253
10,0.9052364255143609,0.9459415584415585,0.8940368294715881,0.0008535533905932737,0.9216727685247253
11,0.8974844875298648,0.9521174477696217,0.9007795453071594,0.0008117449009293668,0.9216727685247253
12,0.9054383884219392,0.9530844155844156,0.9857627749443054,0.0007660160382576683,0.9216727685247253
13,0.8668290964093573,0.9239553924336533,0.8999289274215698,0.0007169418695587791,0.9216727685247253
14,0.8906650165867408,0.9239553924336533,0.8984851837158203,0.0006651395309775837,0.9216727685247253
15,0.8821567919696109,0.9422148503670242,0.8760297298431396,0.0006112604669781573,0.9216727685247253
16,0.8976864504374431,0.9573051948051948,0.9219023585319519,0.0005559822380516539,0.9216727685247253
17,0.8744048539851148,0.9476496329757199,0.9841820001602173,0.0005000000000000001,0.9216727685247253
18,0.8901106928616854,0.9516233766233766,0.8786840438842773,0.00044401776194834627,0.9216727685247253
19,0.8901106928616854,0.9518704121964991,0.931540846824646,0.0003887395330218429,0.9216727685247253
20,0.9059927121469946,0.9476496329757199,0.8689344525337219,0.0003348604690224165,0.9216727685247253
21,0.8668290964093573,0.9405067758328628,0.8856607675552368,0.000283058130441221,0.9216727685247253
22,0.8819806115608725,0.9516233766233766,0.8787272572517395,0.0002339839617423318,0.9216727685247253
23,0.8738505302600594,0.9350719932241671,0.8797049522399902,0.00018825509907063328,0.9216727685247253
24,0.8819806115608725,0.9459415584415585,0.880750298500061,0.00014644660940672628,0.9216727685247253
25,0.8901106928616854,0.9592603049124788,0.8635635375976562,0.00010908425876598527,0.9216727685247253
26,0.8819806115608725,0.946188594014681,0.8718492984771729,7.663790038585794e-05,0.9216727685247253
27,0.8901106928616854,0.9407538114059854,0.856468915939331,4.9515566048790485e-05,0.9216727685247253
28,0.8901106928616854,0.946188594014681,0.8635901212692261,2.8058334845816213e-05,0.9216727685247253
29,0.8901106928616854,0.9407538114059854,0.9012380838394165,1.2536043909088135e-05,0.9216727685247253
30,0.8901106928616854,0.946188594014681,0.8618348836898804,3.143895053378698e-06,0.9216727685247253
