Epoch,Validation_Balanced_Accuracy,Train_Balanced_Accuracy,Loss (Last Batch),Learning_Rate,Max_Validation_Balanced_Accuracy
1,0.7718893415149797,0.7376505740636174,2.1794049739837646,0.0001,0.9222528747486206
2,0.8838197631447774,0.9192617165443252,1.3416035175323486,0.00055,0.9222528747486206
3,0.8821567919696109,0.8728402032749859,1.0955965518951416,0.001,0.9222528747486206
4,0.875135358118909,0.9091120835686053,1.107538104057312,0.0009968561049466214,0.9222528747486206
5,0.8984169545712369,0.9407538114059854,1.1401894092559814,0.0009874639560909118,0.9222528747486206
6,0.883265439419722,0.8411161302465651,1.0763349533081055,0.0009719416651541838,0.9222528747486206
7,0.9222528747486206,0.8633493318275927,1.1270333528518677,0.0009504844339512095,0.9222528747486206
8,0.914677117172863,0.929884246188594,0.9892559051513672,0.0009233620996141421,0.9222528747486206
9,0.883265439419722,0.9315923207227554,0.9218422770500183,0.000890915741234015,0.9222528747486206
10,0.8989712782962925,0.857914549218897,0.9323534369468689,0.0008535533905932737,0.9222528747486206
11,0.8599838429673937,0.8465509128552606,0.9320650696754456,0.0008117449009293668,0.9222528747486206
12,0.8745810343938535,0.9242024280067758,0.9928755760192871,0.0007660160382576683,0.9222528747486206
13,0.883265439419722,0.9244494635798983,0.9324242472648621,0.0007169418695587791,0.9222528747486206
14,0.8995256020213479,0.8413631658196875,0.921183168888092,0.0006651395309775837,0.9222528747486206
15,0.8670052768180959,0.8522327310370789,0.9093795418739319,0.0006112604669781573,0.9222528747486206
16,0.9222528747486206,0.8524797666102013,0.9363405704498291,0.0005559822380516539,0.9222528747486206
17,0.9059927121469946,0.8354343120647468,1.0427547693252563,0.0005000000000000001,0.9222528747486206
18,0.8821567919696109,0.8408690946734425,0.8979941010475159,0.00044401776194834627,0.9222528747486206
19,0.9059927121469946,0.8411161302465651,0.9605275988578796,0.0003887395330218429,0.9222528747486206
20,0.890286873270424,0.8463038772821382,0.9047215580940247,0.0003348604690224165,0.9222528747486206
21,0.9135684697227523,0.8354343120647468,0.9261298179626465,0.000283058130441221,0.9222528747486206
22,0.8897325495453686,0.8354343120647468,0.9370462894439697,0.0002339839617423318,0.9222528747486206
23,0.8973083071211262,0.8408690946734425,0.8863277435302734,0.00018825509907063328,0.9222528747486206
24,0.8897325495453686,0.8408690946734425,0.8954281210899353,0.00014644660940672628,0.9222528747486206
25,0.8897325495453686,0.8408690946734425,0.9117535352706909,0.00010908425876598527,0.9222528747486206
26,0.8897325495453686,0.8463038772821382,0.9096779227256775,7.663790038585794e-05,0.9222528747486206
27,0.8973083071211262,0.8408690946734425,0.8831778168678284,4.9515566048790485e-05,0.9222528747486206
28,0.8973083071211262,0.8463038772821382,0.885993480682373,2.8058334845816213e-05,0.9222528747486206
29,0.8973083071211262,0.8463038772821382,0.9565775990486145,1.2536043909088135e-05,0.9222528747486206
30,0.8973083071211262,0.8463038772821382,0.8682929873466492,3.143895053378698e-06,0.9222528747486206
