,TPR_scores,FPR_scores
0.0,1.0,0.9998878420816509
0.01,0.9993068071537502,0.991868550919695
0.02,0.995979481491751,0.9845222072678331
0.03,0.9919589629835021,0.9756056527590848
0.04,0.9883543601830029,0.9662965455361149
0.05,0.9846111188132538,0.9551929116195603
0.06,0.9818383474282545,0.947790489008524
0.07,0.9779564674892555,0.9378084342754599
0.08,0.9737973104117565,0.9313032750112158
0.09,0.9697767919035075,0.9227231942575146
0.1,0.9631221405795092,0.9123485868102288
0.11,0.9570220435325107,0.9028151637505608
0.12,0.9511992236240122,0.8919919246298789
0.13,0.9437127408845141,0.8816733961417677
0.14,0.9362262581450159,0.8725886047554957
0.15,0.9290170525440178,0.8629430237774787
0.16,0.9225010397892693,0.8536339165545087
0.17,0.9140440870650215,0.8426985195154778
0.18,0.9071121586025233,0.8336698070883805
0.19,0.9001802301400249,0.8248093315388066
0.2,0.8939414945237765,0.8161170928667564
0.21,0.8863163732150284,0.8062471960520413
0.22,0.8795230833217801,0.797554957379991
0.23,0.8714820463052821,0.7867877972184836
0.24,0.8615000693192846,0.778263795423957
0.25,0.8537363094412865,0.7672723194257515
0.26,0.8447248024400388,0.7572902646926873
0.27,0.83973381394704,0.7493831314490803
0.28,0.832108692638292,0.7409712875729026
0.29,0.8225426313600444,0.732559443696725
0.3,0.8150561486205462,0.7220726783310901
0.31,0.8031332316650492,0.7104082548227905
0.32,0.7941217246638015,0.7000897263346793
0.33,0.7833079162623042,0.6897711978465679
0.34,0.7748509635380563,0.6811350381336922
0.35,0.7661167336753085,0.6717698519515478
0.36,0.7580756966588105,0.6607222969941677
0.37,0.7498960210730625,0.6522543741588156
0.38,0.740191321225565,0.6413750560789592
0.39,0.7302093442395674,0.6284768954688201
0.4,0.7236933314848191,0.6185509196949305
0.41,0.7152363787605712,0.6089614176760879
0.42,0.7046998474975739,0.5976334679228353
0.43,0.6944405933730764,0.5877635711081203
0.44,0.6847358935255788,0.5786787797218483
0.45,0.6793289893248302,0.5697622252131
0.46,0.6726743380008319,0.5606213548676536
0.47,0.6626923610148343,0.5513683266038583
0.48,0.6535422154443367,0.5424517720951099
0.49,0.6455011784278386,0.5329744279946165
0.5,0.6364896714265909,0.5213660834454913
0.51,0.6291418272563427,0.5098138178555406
0.52,0.6223485373630944,0.5012898160610139
0.53,0.6151393317620962,0.49198070883804396
0.54,0.6075142104533481,0.48183041722745623
0.55,0.5994731734368501,0.4723530731269628
0.56,0.5901843892971025,0.46158591296545537
0.57,0.5774296409261056,0.45143562135486764
0.58,0.5704977124636074,0.4427994616419919
0.59,0.5641203382781089,0.43304172274562586
0.6,0.5539997227228615,0.4235082996859578
0.61,0.5483155413836129,0.41307761327949755
0.62,0.5391653958131152,0.4026469268730372
0.63,0.5291834188271177,0.3911507402422611
0.64,0.5167059475946209,0.37959847465231045
0.65,0.507833079162623,0.37079407806191117
0.66,0.4977124636073756,0.3600829968595783
0.67,0.49105781228337725,0.35262449528936746
0.68,0.4796894496048801,0.34107222969941675
0.69,0.46887564120338276,0.33114625392552716
0.7,0.4595868570636351,0.3206034096007178
0.71,0.4468321086926383,0.3084342754598475
0.72,0.43740468598364063,0.29856437864513236
0.73,0.4274227089976431,0.2871242709735307
0.74,0.4182725634271454,0.27837595334230597
0.75,0.4088451407181478,0.2692911619560341
0.76,0.3991404408706502,0.2594773441004935
0.77,0.3872175239151532,0.24837371018393897
0.78,0.3764037155136559,0.23760655002243158
0.79,0.3612921114654097,0.22616644235082997
0.8,0.35061694163316237,0.21696949304620905
0.81,0.339941771800915,0.20715567519066846
0.82,0.3269097462914183,0.19790264692687304
0.83,0.312075419381672,0.18696724988784208
0.84,0.29973658671842507,0.17591969493046208
0.85,0.28656592263967834,0.16683490354419023
0.86,0.2722861500069319,0.15702108568864961
0.87,0.2585609316511854,0.14698295199641095
0.88,0.24261749618743936,0.1354867653656348
0.89,0.224039927907944,0.12382234185733512
0.9,0.20657146818244837,0.11288694481830418
0.91,0.192014418411202,0.10167115298340063
0.92,0.1784278386247054,0.09309107222969942
0.93,0.1552751975599612,0.07929564827276805
0.94,0.1335089421877166,0.06634140870345447
0.95,0.11631775960072092,0.05938761776581427
0.96,0.0984333841674754,0.049517720951099145
0.97,0.07541938167198114,0.03695603409600718
0.98,0.05503951199223624,0.0265814266487214
0.99,0.029945930957992514,0.013627187079407806
1.0,0.0,0.0
