,TPR_scores,FPR_scores
0.0,1.0,1.0
0.01,1.0,0.999532273152479
0.02,1.0,0.9990645463049579
0.03,1.0,0.9990645463049579
0.04,1.0,0.9985968194574368
0.05,1.0,0.9976613657623947
0.06,0.998567335243553,0.9967259120673526
0.07,0.998567335243553,0.9962581852198317
0.08,0.997134670487106,0.9948550046772685
0.09,0.995702005730659,0.9939195509822264
0.1,0.995702005730659,0.9929840972871843
0.11,0.995702005730659,0.9920486435921422
0.12,0.995702005730659,0.989242282507016
0.13,0.995702005730659,0.9883068288119738
0.14,0.995702005730659,0.9869036482694107
0.15,0.995702005730659,0.9845650140318054
0.16,0.995702005730659,0.9840972871842844
0.17,0.995702005730659,0.9817586529466792
0.18,0.994269340974212,0.9808231992516371
0.19,0.994269340974212,0.979887745556595
0.2,0.994269340974212,0.9780168381665107
0.21,0.994269340974212,0.9766136576239476
0.22,0.994269340974212,0.9752104770813844
0.23,0.9928366762177651,0.9700654817586529
0.24,0.9928366762177651,0.9691300280636108
0.25,0.9928366762177651,0.9681945743685687
0.26,0.9928366762177651,0.9663236669784846
0.27,0.9928366762177651,0.9644527595884004
0.28,0.9928366762177651,0.9625818521983162
0.29,0.9928366762177651,0.9597754911131899
0.3,0.9928366762177651,0.9560336763330215
0.31,0.9928366762177651,0.9541627689429373
0.32,0.9928366762177651,0.9518241347053321
0.33,0.9928366762177651,0.950420954162769
0.34,0.9928366762177651,0.9471468662301216
0.35,0.9928366762177651,0.9443405051449953
0.36,0.9928366762177651,0.941066417212348
0.37,0.9914040114613181,0.9396632366697848
0.38,0.9885386819484241,0.9354536950420954
0.39,0.9842406876790831,0.9326473339569691
0.4,0.9842406876790831,0.9293732460243218
0.41,0.9799426934097422,0.9275023386342376
0.42,0.9785100286532952,0.9242282507015903
0.43,0.9756446991404012,0.921889616463985
0.44,0.9727793696275072,0.9167446211412535
0.45,0.9713467048710601,0.9144059869036483
0.46,0.9699140401146131,0.9073900841908326
0.47,0.9684813753581661,0.9022450888681011
0.48,0.9684813753581661,0.8980355472404116
0.49,0.9684813753581661,0.8952291861552854
0.5,0.9641833810888252,0.8914873713751169
0.51,0.9641833810888252,0.8868101028999065
0.52,0.9613180515759312,0.8835360149672591
0.53,0.9613180515759312,0.8769878391019644
0.54,0.9598853868194842,0.8718428437792329
0.55,0.9570200573065902,0.8634237605238541
0.56,0.9527220630372493,0.8606173994387278
0.57,0.9426934097421203,0.8554724041159962
0.58,0.9383954154727794,0.8517305893358279
0.59,0.9355300859598854,0.8461178671655754
0.6,0.9297994269340975,0.8400374181478016
0.61,0.9297994269340975,0.8372310570626754
0.62,0.9226361031518625,0.8306828811973808
0.63,0.9212034383954155,0.8260056127221702
0.64,0.9197707736389685,0.8194574368568756
0.65,0.9169054441260746,0.813376987839102
0.66,0.9097421203438395,0.8096351730589336
0.67,0.9040114613180515,0.8007483629560337
0.68,0.8954154727793696,0.7913938260056127
0.69,0.8839541547277937,0.7871842843779233
0.7,0.8782234957020058,0.7801683816651076
0.71,0.8638968481375359,0.7759588400374181
0.72,0.8624641833810889,0.7670720299345183
0.73,0.8510028653295129,0.7609915809167446
0.74,0.8481375358166189,0.7535079513564079
0.75,0.83810888252149,0.7441534144059869
0.76,0.8209169054441261,0.7371375116931712
0.77,0.7994269340974212,0.724976613657624
0.78,0.7836676217765043,0.7179607109448082
0.79,0.7750716332378224,0.7086061739943873
0.8,0.7535816618911175,0.6950420954162769
0.81,0.7435530085959885,0.6847521047708138
0.82,0.7249283667621776,0.6739943872778298
0.83,0.7177650429799427,0.6580916744621141
0.84,0.7005730659025788,0.6421889616463985
0.85,0.6747851002865329,0.6262862488306828
0.86,0.6446991404011462,0.6141253507951356
0.87,0.6232091690544412,0.5963517305893359
0.88,0.5902578796561605,0.5701590271281571
0.89,0.5573065902578797,0.5481758652946679
0.9,0.5186246418338109,0.5187090739008419
0.91,0.47421203438395415,0.4864359214218896
0.92,0.42550143266475643,0.45416276894293733
0.93,0.3825214899713467,0.41580916744621144
0.94,0.3223495702005731,0.37184284377923293
0.95,0.2836676217765043,0.3166510757717493
0.96,0.2191977077363897,0.2609915809167446
0.97,0.1504297994269341,0.18849391955098221
0.98,0.0830945558739255,0.11131898971000935
0.99,0.02865329512893983,0.03835360149672591
1.0,0.0,0.0
