,TPR_scores,FPR_scores
0.0,0.9991681685845002,0.9966352624495289
0.01,0.996256758630251,0.9865410497981157
0.02,0.9932067101067517,0.9766150740242261
0.03,0.9883543601830029,0.9655675190668461
0.04,0.9830860945515042,0.9541834903544191
0.05,0.9782337446277555,0.941173171825931
0.06,0.9742132261195064,0.9315836698070884
0.07,0.9694995147650076,0.9204239569313594
0.08,0.9652017191182587,0.909656796769852
0.09,0.9611812006100097,0.8983849259757739
0.1,0.9556356578400111,0.8887954239569313
0.11,0.9489810065160128,0.8775796321220278
0.12,0.9448218494385138,0.8661956034096007
0.13,0.9380285595452655,0.8559331538806639
0.14,0.9306807153750173,0.8458389412292507
0.15,0.923748786912519,0.8346231493943472
0.16,0.9162623041730209,0.824416778824585
0.17,0.9100235685567725,0.8140982503364738
0.18,0.9011507001247747,0.8032189322566173
0.19,0.8947733259392763,0.7917788245850157
0.2,0.8864550117842784,0.7794414535666218
0.21,0.8806321918757798,0.7684499775684164
0.22,0.8725911548592818,0.7567294751009421
0.23,0.8666296963815333,0.7472521310004486
0.24,0.8591432136420352,0.7363167339614177
0.25,0.8506862609177873,0.7247083894122925
0.26,0.8437543324552891,0.7124831763122477
0.27,0.8361292111465409,0.7014917003140422
0.28,0.8276722584222931,0.6902198295199641
0.29,0.819769859975045,0.6782189322566173
0.3,0.8132538472202967,0.6666666666666666
0.31,0.8064605573270484,0.6564602960969045
0.32,0.7982808817413004,0.6472633467922836
0.33,0.7909330375710523,0.6368326603858232
0.34,0.7824760848468044,0.6249439210408255
0.35,0.7765146263690559,0.6150179452669359
0.36,0.7681963122140579,0.6039143113503813
0.37,0.7589075280743103,0.5928667563930013
0.38,0.7501732982115624,0.5826043068640646
0.39,0.7425481769028144,0.5703230148048453
0.4,0.7356162484403161,0.5605091969493046
0.41,0.7267433800083183,0.5505271422162404
0.42,0.7149591016220712,0.5391991924629879
0.43,0.7045612089283239,0.5292732166890982
0.44,0.6956883404963261,0.5183378196500673
0.45,0.6850131706640787,0.5079632122027815
0.46,0.6740607236933315,0.4971399730820996
0.47,0.6633855538610841,0.48626065500224314
0.48,0.6550672397060863,0.4767833109017497
0.49,0.6452239012893387,0.4659039928218932
0.5,0.6364896714265909,0.455697622252131
0.51,0.6258145015943436,0.4440892777030058
0.52,0.615693886039096,0.43365859129654555
0.53,0.6048800776375988,0.4246859578286227
0.54,0.5935117149591016,0.414535666218035
0.55,0.5821433522806044,0.40589950650515927
0.56,0.5691113267711078,0.39473979362943024
0.57,0.5570497712463608,0.38464558097801704
0.58,0.5466518785526133,0.3739905787348587
0.59,0.5383335643976154,0.3640085240017945
0.6,0.5264106474421184,0.3534656796769852
0.61,0.515874116179121,0.34325930910722297
0.62,0.5053375849161237,0.3319874383131449
0.63,0.49175100512962705,0.32295872588604757
0.64,0.4820463052821295,0.31241588156123823
0.65,0.4695688340496326,0.30260206370569764
0.66,0.4576459170941356,0.2930686406460296
0.67,0.4457230001386386,0.2829744279946164
0.68,0.4308886732288923,0.27417003140421714
0.69,0.41660890059614586,0.2638515029161059
0.7,0.4063496464716484,0.2537572902646927
0.71,0.3944267295161514,0.24422386720502468
0.72,0.3816719811451546,0.23345670704351726
0.73,0.3678081242201581,0.22409152086137282
0.74,0.3525578816026619,0.21349259757738898
0.75,0.33869402467766535,0.20496859578286228
0.76,0.3259392763066685,0.19386496186630775
0.77,0.31221405795092194,0.1860699865410498
0.78,0.2976570081796756,0.1766487213997308
0.79,0.2849022598086788,0.16694706146253926
0.8,0.2708997643144323,0.15746971736204576
0.81,0.25648135311243586,0.1491139524450426
0.82,0.24261749618743936,0.1398609241812472
0.83,0.2291695549701927,0.12920592193808883
0.84,0.2092056009981977,0.11972857783759533
0.85,0.19395535838070152,0.11030731269627636
0.86,0.1812006100097047,0.10200762673844774
0.87,0.16733675308470816,0.09297891431135039
0.88,0.15180923332871205,0.08344549125168237
0.89,0.1376680992652156,0.07637954239569314
0.9,0.12006100097046998,0.06695827725437416
0.91,0.1043948426452239,0.05770524899057874
0.92,0.08748093719672813,0.048340062808434274
0.93,0.07209205600998198,0.04071332436069987
0.94,0.05739636766948565,0.03168461193360251
0.95,0.04075973935948981,0.02288021534320323
0.96,0.02939137668099265,0.015197397936294302
0.97,0.01580479689449605,0.009309107222969942
0.98,0.008318314154997921,0.004598474652310453
0.99,0.0022182171079994455,0.0014580529385374607
1.0,0.0,0.0
